"sid","Name","HasLaterality"
"58","Evaluation of arterial blood gas studies ",NULL
"59","Assessment using Test of Syntactic Abilities ",NULL
"60","Assessment using Discourse Abilities Profile ",NULL
"61","Assessment of ability to walk ",NULL
"62","Promotion of ability to self transfer ",NULL
"63","Assessment using work ability index ",NULL
"64","Assessment using ITPA (Illinois Test of Psycholinguistic Abilities) ",NULL
"65","Assessment of ability to prepare food ",NULL
"66","Estimation of lymphocyte proliferative ability ",NULL
"67","Assessment using grip ability test ",NULL
"68","Assessment of decision making ability ",NULL
"69","Alternate binaural loudness balance test ",NULL
"70","Destruction of tissue of breast ",NULL
"71","Destruction of lesion ",NULL
"72","Ablative hormone therapy ",NULL
"73","Destruction of lesion of uterus ",NULL
"74","Destruction of lesion of nose ",NULL
"75","Ovarian ablation ",NULL
"76","Destructive procedure on pituitary gland ",NULL
"77","Destruction of lesion of larynx ",NULL
"78","Chromosome abnormality screening ",NULL
"79","Excision of preauricular lesion of ear ",NULL
"80","Embolization of arteriovenous abnormality ",NULL
"81","Repair of coronary sinus abnormality ",NULL
"82","Fetal chromosomal abnormality screening ",NULL
"83","Transluminal operations on abnormality of great vessel ",NULL
"84","Open operations for combined abnormality of great vessels ",NULL
"85","Amniocentesis for possible chromosomal abnormality ",NULL
"86","Antenatal ultrasound scan for possible abnormality ",NULL
"87","Complicated pyeloplasty ",NULL
"88","Insertion of abortifacient suppository ",NULL
"89","ABO typing ",NULL
"90","Introduction of abortifacient into uterine cavity ",NULL
"91","Medical termination of pregnancy ",NULL
"92","Therapeutic termination of pregnancy procedure ",NULL
"93","Measurement of Brucella abortus antibody ",NULL
"94","Counseling for termination of pregnancy ",NULL
"95","ABO antigen type determination ",NULL
"96","Insertion of prostaglandin abortifacient suppository ",NULL
"97","Auditory brainstem electric response audiometry ",NULL
"98","Percutaneous pleural biopsy ",NULL
"99","Dermabrasion ",NULL
"100","Removal of Abrams bar from chest wall ",NULL
"101","Pleural abrasion ",NULL
"102","Scraping of corneal epithelium ",NULL
"103","Micro-abrasion of tooth enamel ",NULL
"104","Dermabrasion of tattoo ",NULL
"105","Abrasion of epicardial surface ",NULL
"106","Cornea excision ",NULL
"107","Elopement precautions ",NULL
"108","Chart abstracting ",NULL
"109","Net bilirubin absorbance ",NULL
"110","Implantation of extra-articular partial load absorber device to knee joint ",NULL
"111","Chart abstracting by exception ",NULL
"112","Wormwood RAST ",NULL
"113","Cerebrospinal fluid net bilirubin absorbance ",NULL
"114","Total pancreatectomy ",NULL
"115","Autotransfusion ",NULL
"116","Placement of healing abutment ",NULL
"117","Screening for abuse ",NULL
"118","Abuse prevention ",NULL
"119","Abuse counseling ",NULL
"120","Substance abuse counseling ",NULL
"121","Insertion of dental bridge abutment on tooth ",NULL
"122","Screening for drug abuse ",NULL
"123","Drug of abuse screen ",NULL
"124","Drug abuse prevention ",NULL
"125","Screening for substance abuse ",NULL
"126","Amniocentesis ",NULL
"127","Assisted controlled mandatory ventilation ",NULL
"128","Anterior colporrhaphy ",NULL
"129","Air conduction pure tone audiometry, manual with ear phones ",NULL
"130","Achillotomy ",NULL
"131","Acupuncture ",NULL
"132","Light therapy ",NULL
"133","Accelerometry ",NULL
"134","Acetabulectomy ",NULL
"135","Acromionectomy ",NULL
"136","Measurement of Acanthamoeba species antibody ",NULL
"137","Acacia RAST ",NULL
"138","Acanthamoeba species culture ",NULL
"139","Acanthamoeba species identification ",NULL
"140","False ragweed RAST ",NULL
"141","Storage mite (As) RAST ",NULL
"142","Gum arabic RAST ",NULL
"143","Assessment using Anticholinergic Cognitive Burden Scale ",NULL
"144","Endoscopic sleeve gastroplasty ",NULL
"145","Provision of accelerometer ",NULL
"146","Pre-existing line accessed ",NULL
"147","Blood donor accounting, clerical ",NULL
"148","Positioning accessible commode ",NULL
"149","Accessing of implantable venous access port ",NULL
"150","Augmentation of labor ",NULL
"151","Provision of voucher for repair of place of residence ",NULL
"152","Removal of tooth deposits ",NULL
"153","Automatic defibrillator procedure ",NULL
"154","Active compression decompression cardiopulmonary resuscitation with use of inspiratory impedance threshold device ",NULL
"155","Malone's operation ",NULL
"156","Acetabuloplasty ",NULL
"157","Acetonitrile measurement ",NULL
"158","Acetaldehyde measurement ",NULL
"159","Acepromazine measurement ",NULL
"160","Acetophenazine measurement ",NULL
"161","Acetyldigitoxin measurement ",NULL
"162","Acetylcarnitine measurement ",NULL
"163","N-acetyltyrosine measurement ",NULL
"164","Achillorrhaphy ",NULL
"165","Delayed achillorrhaphy ",NULL
"166","Percutaneous division of Achilles tendon ",NULL
"167","Dilation of cardiac sphincter of esophagus ",NULL
"168","Reinforcement of achievement ",NULL
"169","Hauser achillotenotomy ",NULL
"170","Repair of tendo achilles ",NULL
"171","Counseling for barriers to achieving food security ",NULL
"172","Ultrasonography of Achilles tendon ",NULL
"173","Anticomplement immunofluorescence test ",NULL
"174","Measurement of acyclovir ",NULL
"175","Immunosuppressive acidic protein measurement ",NULL
"176","Acidification regime ",NULL
"177","Urine acidification test ",NULL
"178","Acitretin therapy ",NULL
"179","Beta lactamase, acidimetric susceptibility test ",NULL
"180","Acidified serum lysis test, RBC ",NULL
"181","Lactobacillus acidophilus colony count ",NULL
"182","Ammonium chloride acidification test ",NULL
"183","Acknowledging anxiety ",NULL
"184","Acknowledgement of feeling ",NULL
"185","Reconstruction of anterior cruciate ligament of knee joint ",NULL
"186","American Heart Association advanced cardiac life support protocol ",NULL
"187","Acne surgery ",NULL
"188","Referral to pediatric service for acne ",NULL
"189","Assessment using Leeds revised acne grading system ",NULL
"190","Aconitate measurement ",NULL
"191","Acoustic neurotomy ",NULL
"192","Crushing of acoustic nerve ",NULL
"193","Acoustic reflex testing ",NULL
"194","Acoustic stimulation test ",NULL
"195","Removal of acoustic neuroma ",NULL
"196","Fetal acoustic stimulation test ",NULL
"197","Repair of acoustic nerve (VIII) ",NULL
"198","Oto-admittance tests ",NULL
"199","Exploration of acoustic nerve (VIII) ",NULL
"200","Assessment using Asthma Control Questionnaire ",NULL
"201","Whole blood unit collection ",NULL
"202","Multiple gated acquisition scanning ",NULL
"203","Repair of acquired arteriovenous fistula ",NULL
"204","Ligation of acquired arteriovenous fistula ",NULL
"205","Human immunodeficiency virus antibody test ",NULL
"206","Assessment of risk for hospital acquired complication ",NULL
"207","Repair of acquired femoral arteriovenous fistula ",NULL
"208","Fistulectomy of joint ",NULL
"209","Posterior release for acquired deformity of foot ",NULL
"210","Insertion of amalgam restoration into tooth ",NULL
"211","Acromioplasty of shoulder ",NULL
"212","Acrolein measurement ",NULL
"213","Acrylamide measurement ",NULL
"214","Acrylonitrile measurement ",NULL
"215","Partial acromionectomy ",NULL
"216","Acriflavine stain method ",NULL
"217","Excision of skin tag ",NULL
"218","Partial acromioplasty ",NULL
"219","Anterior ciliary sclerotomy ",NULL
"220","Aortocoronary artery bypass graft with saphenous vein graft ",NULL
"221","Assessment using ACS (Activity Card Sort) ",NULL
"222","Coagulation time, activated ",NULL
"223","Local actinotherapy ",NULL
"224","General actinotherapy ",NULL
"225","Promotion of self actualization ",NULL
"226","Management of drug regimen ",NULL
"227","Evaluation of sleep pattern using actigraphy ",NULL
"228","Clinical actigraphy monitoring ",NULL
"229","Delta base, blood ",NULL
"230","Activation test ",NULL
"231","Patient referral to acupuncturist ",NULL
"232","Consultation by acupuncturist ",NULL
"233","Acupuncture for anesthesia ",NULL
"234","Refer to acupuncture ",NULL
"235","Acupuncture for analgesia ",NULL
"236","Removal of acupuncture needle ",NULL
"237","Acupuncture for induction of labor ",NULL
"238","Stimulation of acupuncture needle ",NULL
"239","Determination of acuity level ",NULL
"240","Aortocoronary artery bypass graft with vein graft ",NULL
"241","Acylcarnitine measurement ",NULL
"242","Blood spot acylcarnitine ",NULL
"243","Blood spot acyl carnitine profile ",NULL
"244","Quantitative measurement of acylcarnitine in blood specimen ",NULL
"245","Quantitative measurement of acylcarnitine in plasma specimen ",NULL
"246","Qualitative measurement of acylcarnitine in plasma specimen ",NULL
"247","Acyl-CoA dehydrogenase measurement ",NULL
"248","Lecithin cholesterol acyltransferase measurement ",NULL
"249","Lysolecithin acyltransferase measurement ",NULL
"250","Adjustment ",NULL
"251","Adrenalectomy ",NULL
"252","Administration ",NULL
"253","Panniculectomy ",NULL
"254","Adenoid excision ",NULL
"255","Lysis of adhesions ",NULL
"256","Incision of adrenal gland ",NULL
"257","Tonsillectomy and adenoidectomy ",NULL
"258","Recommendation to ",NULL
"259","Adipate measurement ",NULL
"260","Adalimumab therapy ",NULL
"261","Excision of palmar fascia ",NULL
"262","Assessment using Alzheimer's Disease Assessment Scale ",NULL
"263","Organization of housing adapted to meet physical needs ",NULL
"264","Assessment using ADAM (Androgen Deficiency in the Aging Male) questionnaire ",NULL
"265","Ensuring environmental adaptations prepared prior to hospital discharge ",NULL
"266","Rate-adaptive pacing ",NULL
"267","Adams crushing of nasal septum ",NULL
"268","Alexander-Adams operation on uterine ligaments ",NULL
"269","Dark adaptation study ",NULL
"270","Antibody dependent cellular cytotoxicity assay ",NULL
"271","Add tooth to denture ",NULL
"272","Add to maxillofacial prosthesis ",NULL
"273","Drugs of addiction education ",NULL
"274","Drug addiction counseling ",NULL
"275","Adduction test of knee ",NULL
"276","Adductor tenotomy of hip ",NULL
"277","Assessment using Addenbrooke's cognitive examination revised ",NULL
"278","CT additional views ",NULL
"279","Add clasp to existing partial denture ",NULL
"280","Add tooth to existing partial denture ",NULL
"281","Laparoscopic adenomyomectomy ",NULL
"282","Operation on adenoids ",NULL
"283","Selective transsphenoidal pituitary adenomectomy ",NULL
"284","Adenine measurement ",NULL
"285","Procedure on adenoids ",NULL
"286","Biopsy of adenoids ",NULL
"287","Adenylate kinase measurement ",NULL
"288","Adenoid repair ",NULL
"289","Lysis of adhesions of peritoneum ",NULL
"290","Platelet adhesiveness test ",NULL
"291","Intraluminal hysterolysis ",NULL
"292","Lysis of adhesions of vagina ",NULL
"293","Laparoscopic lysis of adhesions ",NULL
"294","Lysis of penile adhesions ",NULL
"295","Pericardiolysis ",NULL
"296","Lysis of adhesions of middle ear ",NULL
"297","Neurolysis of peripheral nerve ",NULL
"298","Adipoylcarnitine measurement ",NULL
"299","Adipose tissue reduction operation ",NULL
"300","Fine needle aspiration biopsy of adipose tissue ",NULL
"301","Adjusting of splint ",NULL
"302","Partial denture, including adjustments ",NULL
"303","Sedation with analgesic adjunct ",NULL
"304","Adjust denture ",NULL
"305","Adjusted magnesium level ",NULL
"306","Prosthetic readjustment ",NULL
"307","Adjustment of implant ",NULL
"308","Adjustable refractive surgery ",NULL
"309","Adjust fixation of mandible ",NULL
"310","Activities of daily living assessment ",NULL
"311","Reassuring about activity of daily living ",NULL
"312","Activity of daily living procedures and interventions ",NULL
"313","Activities of daily living management ",NULL
"314","Activity of daily living education ",NULL
"315","Assessment using Rivermead Activities of Daily Living scale ",NULL
"316","Surgical biopsy - administration ",NULL
"317","Administration of analgesic ",NULL
"318","Enema adminstration education ",NULL
"319","Administrative procedure ",NULL
"320","Admission to intensive care unit ",NULL
"321","Administration of electrolytes ",NULL
"322","Radiation therapy procedure or service ",NULL
"323","Administration of intravenous fluids ",NULL
"324","Laparoscopy with removal of adnexal structures ",NULL
"325","Excision of adnexa of uterus ",NULL
"326","Excision of left uterine adnexa ",NULL
"327","Excision of right uterine adnexa ",NULL
"328","Bilateral excision of adnexa of uterus ",NULL
"329","Procedure on neoplasm of ocular adnexa ",NULL
"330","Surgical procedure on eye region ",NULL
"331","Parenting education ",NULL
"332","Adoption medical examination ",NULL
"333","Notification of adoption ",NULL
"334","Adolescent care assessment ",NULL
"335","Adolescent care education ",NULL
"336","Adolescent care management ",NULL
"337","Medical examinations/reports ",NULL
"338","Adolescent health screen ",NULL
"339","Family counseling ",NULL
"340","Education about puberty and adolescence ",NULL
"341","Platelet aggregation with ADP test ",NULL
"342","ADP 1 umol test ",NULL
"343","ADP 3 umol test ",NULL
"344","ADP 5 umol test ",NULL
"345","Collagen ADP platelet function test ",NULL
"346","Excision of left adrenal gland ",NULL
"347","Excision of right adrenal gland ",NULL
"348","Incision and exploration of adrenal gland ",NULL
"349","CT of adrenals ",NULL
"350","Bilateral adrenalectomy ",NULL
"351","MRI of adrenals ",NULL
"352","Partial adrenalectomy ",NULL
"353","Epinephrine measurement ",NULL
"354","Adson's test ",NULL
"355","Modified Adson's test ",NULL
"356","Assessment using Alcohol Dependence Scale ",NULL
"357","Administration of inactivated Japanese encephalitis virus adsorbed vaccine via intramuscular route ",NULL
"358","General psychiatric care of adults of working age ",NULL
"359","Assessment using Stuttering Severity Instrument for children and adults ",NULL
"360","Assessment using SCAN-A Test for Auditory Processing Disorders in Adolescents and Adults ",NULL
"361","Assessment using European Union Scale for Peak Expiratory Flow Rate for adults ",NULL
"362","Assessment using action for dysphasic adults comprehension battery ",NULL
"363","Advocating for breastfeeding ",NULL
"364","Advancement of muscle ",NULL
"365","Advancement of tendon ",NULL
"366","Repair with advancement ",NULL
"367","Advancement of vagina ",NULL
"368","Cancer education ",NULL
"369","Referral to smoking cessation advisor ",NULL
"370","Recommendation to return ",NULL
"371","Sexuality education ",NULL
"372","Acid etch splinting of teeth ",NULL
"373","Insertion of composite restoration into tooth ",NULL
"374","Ambulatory EEG ",NULL
"375","Application of above elbow plaster cast ",NULL
"376","Serum etiocholanolone measurement ",NULL
"377","Plasma etiocholanolone measurement ",NULL
"378","Aerosol therapy ",NULL
"379","Tympanoplasty with mastoidectomy ",NULL
"380","Mosquito RAST ",NULL
"381","Aerobic blood culture ",NULL
"382","Above elbow amputation ",NULL
"383","Haddock RAST ",NULL
"384","Aerobic microbial culture ",NULL
"385","Measurement of Pseudomonas aeruginosa antibody ",NULL
"386","Pulmonary ventilation study, aerosol ",NULL
"387","Biopsy of upper aerodigestive tract ",NULL
"388","Microbial culture, aerobic, screen ",NULL
"389","Provision of advice about aerobic exercise ",NULL
"390","Microbial culture, aerobic, initial isolation ",NULL
"391","Wheat RAST ",NULL
"392","Wheat IgG RAST ",NULL
"393","Horse chestnut RAST ",NULL
"394","Trabeculectomy ab externo ",NULL
"395","Insertion of composite tip tooth restoration ",NULL
"396","Intravitreal fluid air exchange ",NULL
"397","Ultrasonography for amniotic fluid index ",NULL
"398","Gender confirmation surgery ",NULL
"399","Afterload radiotherapy of oropharyngeal cavity ",NULL
"400","Gender confirmation bottom surgery ",NULL
"401","Encouragement to perform positive affirmation ",NULL
"402","Gender confirmation top surgery ",NULL
"403","Forceps application to aftercoming head ",NULL
"404","Measurement of Afipia felis antibody ",NULL
"405","Affinity chromatography measurement ",NULL
"406","Creation of aortofemoral shunt ",NULL
"407","Hemoglobin-oxygen affinity measurement ",NULL
"408","Assessment using Affect Balance Scale ",NULL
"409","Elevation of affected extremity ",NULL
"410","Drug therapy ",NULL
"411","Boronate affinity chromatography measurement ",NULL
"412","Alpha-1-Fetoprotein measurement ",NULL
"413","Diagnostic amniocentesis ",NULL
"414","Alpha-1-Fetoprotein measurement, amniotic fluid ",NULL
"415","Alpha-fetoprotein test - antenatal ",NULL
"416","Cerebrospinal fluid alpha-fetoprotein measurement ",NULL
"417","Alpha-fetoprotein radioimmunoassay ",NULL
"418","Fluid sample AFP level ",NULL
"419","Serum alpha-fetoprotein multiple of median measurement ",NULL
"420","Plasma alpha-fetoprotein multiple of median measurement ",NULL
"421","Antenatal screening ",NULL
"422","Trypanosomal (African) antibody level ",NULL
"423","Partial breech delivery with forceps to aftercoming head ",NULL
"424","Implantation of joint prosthesis ",NULL
"425","Total breech delivery with forceps to aftercoming head ",NULL
"426","Cobalt 60 brachytherapy remote afterloading ",NULL
"427","Insertion of afterloading balloon catheter for radiotherapy into breast using imaging guidance ",NULL
"428","Excision of secondary membrane ",NULL
"429","Procedure on integumentary system ",NULL
"430","Piper forceps delivery by application to aftercoming head ",NULL
"431","Acidified glycerol lysis test ",NULL
"432","Platelet aggregation test ",NULL
"433","Albumin/Globulin ratio ",NULL
"434","Gliadin IgG RAST ",NULL
"435","Gliadin IgA RAST ",NULL
"436","Agglutination procedure ",NULL
"437","Agglutinin measurement ",NULL
"438","Referral to area agency on aging ",NULL
"439","Agglutination assay ",NULL
"440","Electrophoresis, agarose gel method ",NULL
"441","Streptococcus agalactiae culture ",NULL
"442","Streptococcus agalactiae antigen assay ",NULL
"443","Mushroom-champignon RAST ",NULL
"444","BCG vaccination ",NULL
"445","Streptococcus agalactiae rRNA assay ",NULL
"446","Administration of tetanus vaccine ",NULL
"447","Administration of poliomyelitis vaccine ",NULL
"448","Administration of pertussis vaccine ",NULL
"449","Administration of diphtheria vaccine ",NULL
"450","Liaising with agency ",NULL
"451","Referral by agency nurse ",NULL
"452","Referral to agency nurse ",NULL
"453","Admission by agency nurse ",NULL
"454","Discharge by agency nurse ",NULL
"455","Skeletal maturity survey ",NULL
"456","Health examination of sub-group ",NULL
"457","Patient referral for evaluation, aging problem ",NULL
"458","Referral to domestic abuse agency ",NULL
"459","Plain x-ray of bone age ",NULL
"460","Casein IgG RAST ",NULL
"461","Alpha-lactalbumin IgG RAST ",NULL
"462","Beta-lactoglobulin IgG RAST ",NULL
"463","Casein IgA RAST ",NULL
"464","Alpha-lactalbumin IgA RAST ",NULL
"465","Beta-lactoglobulin IgA RAST ",NULL
"466","Sperm agglutination ",NULL
"467","Latex agglutination test ",NULL
"468","Passive agglutination test ",NULL
"469","Detection of aggregated immunoglobulin G binding ",NULL
"470","Cold agglutinin measurement ",NULL
"471","Febrile agglutinins, quantitative ",NULL
"472","Saline contrast echocardiogram ",NULL
"473","Facilitation of acceptance of aging ",NULL
"474","Patient referral for special care, aging problem ",NULL
"475","Education about area agency on aging program ",NULL
"476","Assessment using CSHA (Canadian Study of Health and Aging) Clinical Frailty Scale ",NULL
"477","Assessment using Eight-item Informant Interview to Differentiate Aging and Dementia ",NULL
"478","Measurement of opiate agonist ",NULL
"479","Quantitative measurement of opiate agonist ",NULL
"480","Qualitative measurement of opiate agonist ",NULL
"481","Assessment using mobility inventory for agoraphobia ",NULL
"482","Therapy using erythropoietin receptor agonist ",NULL
"483","Quantitative measurement of opiate agonist in serum or plasma using GC-MS ",NULL
"484","Long-term drug therapy ",NULL
"485","Agreeing on care plan ",NULL
"486","Agreeing on diabetes care plan ",NULL
"487","Agreeing on entire care plan ",NULL
"488","Agreeing on elements of the care plan ",NULL
"489","Agreement on advance care plan ",NULL
"490","Redtop RAST ",NULL
"491","Subtotal abdominal hysterectomy ",NULL
"492","Total abdominal hysterectomy ",NULL
"493","Radical abdominal hysterectomy ",NULL
"494","Assessment using Apnea Hypopnea Index ",NULL
"495","Total abdominal hysterectomy with bilateral salpingo-oophorectomy ",NULL
"496","Laparoscopic total abdominal hysterectomy and bilateral salpingo-oophorectomy ",NULL
"497","Antibody identification, RBC, saline and AHG ",NULL
"498","Antibody identification, RBC, albumin and AHG ",NULL
"499","Artificial insemination ",NULL
"500","Artificial insemination by donor ",NULL
"501","Artificial insemination by husband ",NULL
"502","Airborne precautions ",NULL
"503","Procedure aiding diagnosis ",NULL
"504","First aid ",NULL
"505","Airway procedure ",NULL
"506","Removal of airway ",NULL
"507","Assessment using AIMS2 (Arthritis Impact Measurement Scales 2) ",NULL
"508","Referral to minor ailments clinic ",NULL
"509","First aid education ",NULL
"510","Hearing aid procedure ",NULL
"511","Attention to hearing aid ",NULL
"512","Referral to health aide service ",NULL
"513","Insertion of speech aid ",NULL
"514","Hearing aid provision ",NULL
"515","Fitting of hearing aid ",NULL
"516","Injection of air ",NULL
"517","Airway management ",NULL
"518","Determination of resistance to airflow ",NULL
"519","Airway toilet ",NULL
"520","Airway care management ",NULL
"521","Insertion of oropharyngeal airway ",NULL
"522","Major airway resection ",NULL
"523","Assessment using Acceptance of Illness Scale ",NULL
"524","Astigmatic keratotomy ",NULL
"525","Femoral-popliteal artery bypass graft ",NULL
"526","Percutaneous thrombolysis of popliteal artery ",NULL
"527","Amputation above-knee ","1"
"528","Injection of anesthetic into periorbital region for akinesia ",NULL
"529","Implantation of left ventricular assist device ",NULL
"530","Interbody fusion of lumbar spine by anterior approach ",NULL
"531","Associating liver partition and portal vein ligation for staged hepatectomy ",NULL
"532","Allyl alcohol measurement ",NULL
"533","Alprenolol measurement ",NULL
"534","Allobarbital measurement ",NULL
"535","Alphaprodine measurement ",NULL
"536","Specimen aliquoting ",NULL
"537","Dental alveoplasty ",NULL
"538","Alleviating anxiety ",NULL
"539","Alanine measurement ",NULL
"540","Aminolevulinic acid dehydratase measurement ",NULL
"541","Alar base excision ",NULL
"542","Alar-transverse fusion ",NULL
"543","Correction of alar collapse by diathermy of alae nasi ",NULL
"544","Urine alanine measurement ",NULL
"545","Aminolevulinic acid / creatinine ratio measurement ",NULL
"546","Serum alanine measurement ",NULL
"547","Plasma alanine measurement ",NULL
"548","beta-Alanine measurement ",NULL
"549","Albuterol measurement ",NULL
"550","Albert operation ",NULL
"551","Albert's stain method ",NULL
"552","Albee operation for hip fusion ",NULL
"553","Albumin measurement ",NULL
"554","Albumin measurement, serum ",NULL
"555","Administration of albumin ",NULL
"556","Transfusion of albumin ",NULL
"557","Urine albumin measurement ",NULL
"558","Electrophoresis: albumin ",NULL
"559","Alcohol consumption screening ",NULL
"560","Measurement of Alcelaphine herpesvirus 1 antibody ",NULL
"561","Alcoholism counseling ",NULL
"562","Alcohol measurement ",NULL
"563","Alcian blue stain method ",NULL
"564","Referral to alcoholism rehabilitation service ",NULL
"565","Blood ethanol measurement ",NULL
"566","Medicolegal examination ",NULL
"567","Alcohol measurement, urine ",NULL
"568","Pregnancy alcohol education ",NULL
"569","Aldrin measurement ",NULL
"570","Referral to assistive listening device service ",NULL
"571","Aldolase measurement ",NULL
"572","Aldosterone measurement ",NULL
"573","Aldosterone measurement, serum ",NULL
"574","Aldosterone measurement, urine ",NULL
"575","Plasma aldosterone level ",NULL
"576","Renin and aldosterone ",NULL
"577","Aldosterone stimulation test ",NULL
"578","Aldosterone suppression test ",NULL
"579","Shortening of round ligament of uterus ",NULL
"580","Redline alert test ",NULL
"581","Assessment using Screening Tool to Alert doctors to Right Treatment ",NULL
"582","Alfentanil measurement ",NULL
"583","Swedish interactive thresholding algorithm automated static perimetry ",NULL
"584","Separation of blood unit into aliquots ",NULL
"585","Body alignment education ",NULL
"586","Optical axis deviation test ",NULL
"587","Realignment of bone ",NULL
"588","Alizarin red S stain method ",NULL
"589","Alizarin blue S stain method ",NULL
"590","Alizarin yellow R stain method ",NULL
"591","Repair of fracture with osteotomy and correction of alignment ",NULL
"592","Alkalinization regime ",NULL
"593","Alkalase RAST ",NULL
"594","Drug screen for alkaloids ",NULL
"595","Alkaloids measurement, tissue screening ",NULL
"596","Alkaloids measurement, urine screening ",NULL
"597","Alkaline phosphatase measurement ",NULL
"598","Alkaline phosphatase stain method, blood or bone marrow ",NULL
"599","Ergot alkaloid measurement ",NULL
"600","Hemoglobin alkaline electrophoresis ",NULL
"601","Serum alkaline phosphatase measurement ",NULL
"602","Allspice RAST ",NULL
"603","Measurement of alloisoleucine ",NULL
"604","Assessment of allodynia ",NULL
"605","Radioallergosorbent test ",NULL
"606","Allotransplant of heart ",NULL
"607","Allen test for arterial competency ",NULL
"608","Test for allergens ",NULL
"609","Almond RAST ",NULL
"610","Grey alder RAST ",NULL
"611","Incision along saphenous vein ",NULL
"612","Meadow foxtail RAST ",NULL
"613","Operations along nephrostomy track ",NULL
"614","Therapeutic operation on bile duct along T tube track ",NULL
"615","Endoscopic removal of calculus from bile duct along T tube track ",NULL
"616","Percutaneous removal of calculus from bile duct along T tube track ",NULL
"617","Administration of rubella vaccine ",NULL
"618","Alprazolam measurement ",NULL
"619","Alphavirus antibody level ",NULL
"620","Measurement of alprazolam in serum specimen ",NULL
"621","Alpha-1-fetoprotein measurement, serum ",NULL
"622","Tourniquet removal (already released) ",NULL
"623","Advanced life support ",NULL
"624","Assessment using Amyotrophic Lateral Sclerosis Functional Rating Scale Revised ",NULL
"625","European Resuscitation Council advanced life support protocol ",NULL
"626","ALT - blood measurement ",NULL
"627","Argon laser trabeculoplasty ",NULL
"628","Alternaria alternata RAST ",NULL
"629","Alanine aminotransferase measurement ",NULL
"630","Alternaria alternata IgG RAST ",NULL
"631","Altemeier operation, perineal rectal pull-through ",NULL
"632","Continuous infusion of alteplase ",NULL
"633","Counseling for alternatives to driving ",NULL
"634","Removal of alternate sutures ",NULL
"635","Alternate cover test ",NULL
"636","Aluminum measurement ",NULL
"637","Aluminum measurement, blood ",NULL
"638","Aluminum measurement, tissue ",NULL
"639","Serum aluminum measurement ",NULL
"640","Aluminum measurement, urine ",NULL
"641","Plasma aluminum measurement ",NULL
"642","Evaluation of aluminum stores ",NULL
"643","Measurement of aluminum in 24 hour urine specimen ",NULL
"644","Bone histomorphometry, aluminum stain ",NULL
"645","YAG laser anterior capsulotomy ",NULL
"646","Alveolectomy, including sequestrectomy ",NULL
"647","Open reduction of alveolar fracture ",NULL
"648","Alveolectomy, including curettage of osteitis ",NULL
